image,audio,duration
control_vignette_images/c1.JPG,training_audio/c1.ogg,26
control_vignette_images/c2.JPG,training_audio/c2.ogg,30
control_vignette_images/c3.JPG,training_audio/c3.ogg,24
control_vignette_images/c4.JPG,training_audio/c4.ogg,27
control_vignette_images/c5.JPG,training_audio/c5.ogg,25
control_vignette_images/c6.JPG,training_audio/c6.ogg,31
control_vignette_images/c7.JPG,training_audio/c7.ogg,16
control_vignette_images/c8.JPG,training_audio/c8.ogg,24
control_vignette_images/c9.JPG,training_audio/c9.ogg,19
control_vignette_images/c10.JPG,training_audio/c10.ogg,27
control_vignette_images/c11.JPG,training_audio/c11.ogg,24
control_vignette_images/c12.JPG,training_audio/c12.ogg,27
control_vignette_images/c13.JPG,training_audio/c13.ogg,21
control_vignette_images/c14.JPG,training_audio/c14.ogg,24
control_vignette_images/c15.JPG,training_audio/c15.ogg,27
control_vignette_images/c16.JPG,training_audio/c16.ogg,24
control_vignette_images/c17.JPG,training_audio/c17.ogg,24
control_vignette_images/c18.JPG,training_audio/c18.ogg,24
control_vignette_images/c19.JPG,training_audio/c19.ogg,21
control_vignette_images/c20.JPG,training_audio/c20.ogg,19
control_vignette_images/c21.JPG,training_audio/c21.ogg,24
control_vignette_images/c22.JPG,training_audio/c22.ogg,18
control_vignette_images/c23.JPG,training_audio/c23.ogg,25
control_vignette_images/c24.JPG,training_audio/c24.ogg,36
dilemma_vignettes_images/d1.JPG,training_audio/d1.ogg,25
dilemma_vignettes_images/d2.JPG,training_audio/d2.ogg,30
dilemma_vignettes_images/d3.JPG,training_audio/d3.ogg,34
dilemma_vignettes_images/d4.JPG,training_audio/d4.ogg,35
dilemma_vignettes_images/d5.JPG,training_audio/d5.ogg,31
dilemma_vignettes_images/d6.JPG,training_audio/d6.ogg,25
dilemma_vignettes_images/d7.JPG,training_audio/d7.ogg,25
dilemma_vignettes_images/d8.JPG,training_audio/d8.ogg,28
dilemma_vignettes_images/d9.JPG,training_audio/d9.ogg,37
dilemma_vignettes_images/d10.JPG,training_audio/d10.ogg,37
dilemma_vignettes_images/d11.JPG,training_audio/d11.ogg,39
dilemma_vignettes_images/d12.JPG,training_audio/d12.ogg,31
dilemma_vignettes_images/d13.JPG,training_audio/d13.ogg,43
dilemma_vignettes_images/d14.JPG,training_audio/d14.ogg,24
dilemma_vignettes_images/d15.JPG,training_audio/d15.ogg,40
dilemma_vignettes_images/d16.JPG,training_audio/d16.ogg,34
dilemma_vignettes_images/d17.JPG,training_audio/d17.ogg,33
dilemma_vignettes_images/d18.JPG,training_audio/d18.ogg,33
dilemma_vignettes_images/d19.JPG,training_audio/d19.ogg,42
dilemma_vignettes_images/d20.JPG,training_audio/d20.ogg,31
dilemma_vignettes_images/d21.JPG,training_audio/d21.ogg,30
dilemma_vignettes_images/d22.JPG,training_audio/d22.ogg,36
dilemma_vignettes_images/d23.JPG,training_audio/d23.ogg,45
dilemma_vignettes_images/d24.JPG,training_audio/d24.ogg,37
